seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12657,2024,SUI.1,20032,75844,17,9,3,3,1,0,0,1,0,1,3,1,0,0,20,2025-03-21 04:51:57
12657,2024,SUI.1,11551,87792,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-19 02:51:32
12657,2024,SUI.1,11551,90949,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-06-19 02:51:32
12657,2024,SUI.1,3076,95525,9,4,6,2,2,0,0,0,0,0,3,0,0,0,11,2025-03-21 04:51:55
12657,2024,SUI.1,3076,97680,17,0,10,28,2,0,0,0,0,8,19,0,0,0,21,2025-03-21 04:51:55
12657,2024,SUI.1,3076,100518,25,13,21,10,4,0,0,2,0,9,27,5,0,0,16,2025-03-21 04:51:55
12657,2024,SUI.1,3076,100645,26,15,0,0,6,0,0,0,0,9,9,9,0,0,29,2024-06-19 02:51:37
12657,2024,SUI.1,3076,100681,18,4,0,0,9,0,0,0,0,6,6,6,0,0,26,2024-06-19 02:51:37
12657,2024,SUI.1,2722,104982,3,2,0,0,1,0,0,0,0,1,1,1,0,0,0,2024-06-19 02:51:36
12657,2024,SUI.1,989,105140,6,5,3,0,0,0,0,0,0,1,3,0,0,0,3,2024-09-10 04:56:12
12657,2024,SUI.1,20996,105140,27,6,12,6,5,0,0,2,0,6,17,1,0,0,40,2025-03-21 04:51:57
12657,2024,SUI.1,492,111607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-19 02:51:35
12657,2024,SUI.1,20996,113442,6,6,3,1,2,0,0,0,0,1,2,1,0,0,3,2025-03-21 04:51:57
12657,2024,SUI.1,3019,115371,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-06-19 02:51:34
12657,2024,SUI.1,3019,121505,10,0,7,16,2,0,0,1,0,14,32,4,0,0,14,2025-03-21 04:51:56
12657,2024,SUI.1,20032,121738,16,0,1,2,2,0,0,0,0,0,0,0,0,58,26,2025-03-21 04:51:57
12657,2024,SUI.1,21926,123771,3,0,0,0,2,0,0,0,0,0,0,0,0,0,6,2024-07-13 02:54:13
12657,2024,SUI.1,989,125465,27,0,0,0,0,0,1,0,0,0,0,0,0,105,29,2025-03-21 04:51:55
12657,2024,SUI.1,492,126518,21,17,9,4,2,0,0,0,0,4,10,1,0,0,8,2025-03-21 04:51:56
12657,2024,SUI.1,3076,126645,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,2024-08-15 08:44:37
12657,2024,SUI.1,3019,132687,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-19 02:51:34
12657,2024,SUI.1,3019,136583,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-06-19 02:51:34
12657,2024,SUI.1,989,136597,27,0,25,36,6,0,0,5,0,10,38,3,0,0,28,2025-03-21 04:51:55
12657,2024,SUI.1,2722,136746,19,0,18,2,1,0,0,1,0,4,13,0,0,0,17,2025-03-21 04:51:58
12657,2024,SUI.1,989,136775,24,2,21,36,1,0,0,12,0,21,49,9,0,0,19,2025-03-21 04:51:55
12657,2024,SUI.1,3076,137018,2,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2025-03-21 04:51:55
12657,2024,SUI.1,3076,140802,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2024-06-19 02:51:37
12657,2024,SUI.1,3076,146384,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-03-21 04:51:55
12657,2024,SUI.1,11551,146638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-19 02:51:32
12657,2024,SUI.1,492,149565,17,2,5,7,3,0,0,0,0,3,16,2,0,0,10,2025-03-21 04:51:56
12657,2024,SUI.1,11551,149843,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2024-06-19 02:51:32
12657,2024,SUI.1,492,149845,22,0,35,33,8,1,0,0,0,1,8,0,0,0,28,2025-03-21 04:51:56
12657,2024,SUI.1,989,151553,9,8,4,6,1,0,0,0,0,0,2,0,0,0,2,2025-03-21 04:51:55
12657,2024,SUI.1,20996,152190,23,1,2,0,3,0,0,0,0,0,0,0,0,102,48,2025-03-21 04:51:57
12657,2024,SUI.1,7640,152599,24,0,0,0,6,0,0,0,0,1,1,1,0,0,33,2024-06-19 02:51:32
12657,2024,SUI.1,21538,154456,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-21 04:51:58
12657,2024,SUI.1,3076,157999,18,16,0,0,4,0,0,0,0,0,0,0,0,0,14,2024-06-19 02:51:37
12657,2024,SUI.1,20032,158368,25,0,19,22,5,1,0,0,0,10,26,5,0,0,25,2025-03-21 04:51:57
12657,2024,SUI.1,3019,159318,3,3,1,0,0,0,0,1,0,1,2,0,0,0,1,2025-03-21 04:51:56
12657,2024,SUI.1,20996,160195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-19 02:51:31
12657,2024,SUI.1,7640,161067,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2024-06-19 02:51:32
12657,2024,SUI.1,7672,162156,23,9,13,17,2,0,0,0,0,10,28,1,0,0,16,2025-03-21 04:51:55
12657,2024,SUI.1,21926,164170,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2024-07-13 02:54:13
12657,2024,SUI.1,7640,166255,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-03-21 04:51:55
12657,2024,SUI.1,21538,166724,11,4,4,3,1,0,0,0,0,1,3,0,0,0,17,2025-02-13 05:47:40
12657,2024,SUI.1,7672,167387,19,7,9,10,2,0,0,1,0,11,23,4,0,0,21,2025-03-21 04:51:55
